"ID"	"POP"	"TISSUE"	"STAGE"	"LON"	"AMP"	"MONTH"	"YEAR"	"SALINITY"	"SAMPLING"	"ORGANISM"
"53"	"BLA82D"	"BLA"	"DIGESTIVE"	"ADULT"	"71.9"	"39.5"	"APR"	2020	34.5	2	S
"54"	"BLA82T"	"BLA"	"TUNIC"	"ADULT"	"71.9"	"39.5"	"APR"	2020	34.5	2	S
"55"	"BLA83B"	"BLA"	"GILL"	"ADULT"	"80.9"	"53.0"	"APR"	2020	34.5	2	S
"56"	"BLA83D"	"BLA"	"DIGESTIVE"	"ADULT"	"80.9"	"53.0"	"APR"	2020	34.5	2	S
"57"	"BLA83T"	"BLA"	"TUNIC"	"ADULT"	"80.9"	"53.0"	"APR"	2020	34.5	2	S
"58"	"BLA84B"	"BLA"	"GILL"	"ADULT"	"40.5"	"32.1"	"APR"	2020	34.5	2	S
"59"	"BLA84D"	"BLA"	"DIGESTIVE"	"ADULT"	"40.5"	"32.1"	"APR"	2020	34.5	2	S
"60"	"BLA84T"	"BLA"	"TUNIC"	"ADULT"	"40.5"	"32.1"	"APR"	2020	34.5	2	S
"61"	"BLA85B"	"BLA"	"GILL"	"ADULT"	"51.3"	"38.4"	"APR"	2020	34.5	2	S
"62"	"BLA85D"	"BLA"	"DIGESTIVE"	"ADULT"	"51.3"	"38.4"	"APR"	2020	34.5	2	S
"63"	"BLA85T"	"BLA"	"TUNIC"	"ADULT"	"51.3"	"38.4"	"APR"	2020	34.5	2	S
"64"	"BLA87B"	"BLA"	"GILL"	"ADULT"	"65.0"	"51.4"	"APR"	2020	34.5	2	S
"65"	"BLA87D"	"BLA"	"DIGESTIVE"	"ADULT"	"65.0"	"51.4"	"APR"	2020	34.5	2	S
"66"	"BLA87T"	"BLA"	"TUNIC"	"ADULT"	"65.0"	"51.4"	"APR"	2020	34.5	2	S
"67"	"BLAW12"	"BLA"	"WATER"	"WATER"	"WATER"	"WATER"	"APR"	2020	34.5	2	W
"68"	"BLAW13"	"BLA"	"WATER"	"WATER"	"WATER"	"WATER"	"APR"	2020	34.5	2	W
"69"	"BLAW14"	"BLA"	"WATER"	"WATER"	"WATER"	"WATER"	"APR"	2020	34.5	2	W
"70"	"BLAW15"	"BLA"	"WATER"	"WATER"	"WATER"	"WATER"	"APR"	2020	34.5	2	W
